,TimeSampled,ElapsedTime
stn3-d1-bulk-t0,4/28/15 14:55,0
stn3-d1-bulk-t1,4/28/15 18:55,3.997777778
stn3-d1-bulk-t2,4/28/15 23:05,8.161111111
stn3-d1-bulk-t3,4/29/15 3:13,12.30666667
stn3-d1-bulk-t4,4/29/15 6:50,15.91055556
stn3-d1-bulk-t5,4/29/15 10:54,19.99166667
stn3-d1-bulk-t6,4/29/15 15:04,24.14888889
stn3-d1-bulk-t7,4/30/15 3:52,36.95111111
stn3-d1-bulk-t8,4/30/15 14:49,47.90222222
stn3-d1-bulk-t9,5/1/15 14:52,71.95388889
stn3-d2-bulk-t0,4/28/15 15:01,0
stn3-d2-bulk-t1,4/28/15 18:57,3.934444444
stn3-d2-bulk-t2,4/28/15 23:06,8.08
stn3-d2-bulk-t3,4/29/15 3:14,12.22333333
stn3-d2-bulk-t4,4/29/15 6:51,15.82722222
stn3-d2-bulk-t5,4/29/15 10:56,19.91055556
stn3-d2-bulk-t6,4/29/15 15:05,24.06277778
stn3-d2-bulk-t7,4/30/15 3:53,36.87
stn3-d2-bulk-t8,4/30/15 14:50,47.81611111
stn3-d2-bulk-t9,5/1/15 14:53,71.87333333
stn4-d1-bulk-t0,4/28/15 18:59,0
stn4-d1-bulk-t1,4/28/15 23:08,4.150555556
stn4-d1-bulk-t2,4/29/15 3:16,8.287222222
stn4-d1-bulk-t3,4/29/15 6:57,11.96833333
stn4-d1-bulk-t4,4/29/15 10:58,15.98277778
stn4-d1-bulk-t5,4/29/15 15:06,20.12166667
stn4-d1-bulk-t6,4/29/15 18:57,23.97777778
stn4-d1-bulk-t7,4/30/15 7:11,36.20277778
stn4-d1-bulk-t8,4/30/15 18:58,47.98777778
stn4-d1-bulk-t9,5/1/15 19:05,72.11055556
stn4-d2-bulk-t0,4/28/15 19:00,0
stn4-d2-bulk-t1,4/28/15 23:09,4.151111111
stn4-d2-bulk-t2,4/29/15 3:18,8.292222222
stn4-d2-bulk-t3,4/29/15 6:55,11.90388889
stn4-d2-bulk-t4,4/29/15 11:00,15.98666667
stn4-d2-bulk-t5,4/29/15 15:08,20.12166667
stn4-d2-bulk-t6,4/29/15 18:59,23.97888889
stn4-d2-bulk-t7,4/30/15 7:12,36.20277778
stn4-d2-bulk-t8,4/30/15 18:59,47.97388889
stn4-d2-bulk-t9,5/1/15 19:06,72.10277778
stn1-d1-bulk-t0,4/28/15 3:03,0
stn1-d1-bulk-t1,4/28/15 7:03,4.005
stn1-d1-bulk-t2,4/28/15 11:06,8.046666667
stn1-d1-bulk-t3,4/28/15 15:03,12
stn1-d1-bulk-t4,4/28/15 19:03,15.99833333
stn1-d1-bulk-t5,4/28/15 22:55,19.87666667
stn1-d1-bulk-t6,4/29/15 3:03,24.00944444
stn1-d1-bulk-t7,4/29/15 14:55,35.87166667
stn1-d1-bulk-t8,4/30/15 3:40,48.61777778
stn1-d1-bulk-t9,5/1/15 3:02,71.97722222
stn1-d2-bulk-t0,4/28/15 3:07,0
stn1-d2-bulk-t1,4/28/15 7:08,4.009444444
stn1-d2-bulk-t2,4/28/15 11:14,8.109444444
stn1-d2-bulk-t3,4/28/15 15:07,11.99888889
stn1-d2-bulk-t4,4/28/15 19:06,15.98166667
stn1-d2-bulk-t5,4/28/15 23:00,19.87833333
stn1-d2-bulk-t6,4/29/15 3:08,24.02222222
stn1-d2-bulk-t7,4/29/15 15:00,35.87555556
stn1-d2-bulk-t8,4/30/15 3:46,48.65055556
stn1-d2-bulk-t9,5/1/15 3:09,72.03722222
stn2-d1-bulk-t0,4/28/15 3:10,0
stn2-d1-bulk-t1,4/28/15 7:05,3.916111111
stn2-d1-bulk-t2,4/28/15 11:17,8.118888889
stn2-d1-bulk-t3,4/28/15 15:04,11.90833333
stn2-d1-bulk-t4,4/28/15 19:04,15.91277778
stn2-d1-bulk-t5,4/28/15 22:57,19.78111111
stn2-d1-bulk-t6,4/29/15 3:04,23.91388889
stn2-d1-bulk-t7,4/29/15 14:57,35.78277778
stn2-d1-bulk-t8,4/30/15 3:42,48.53777778
stn2-d1-bulk-t9,5/1/15 3:03,71.88388889
stn2-d2-bulk-t0,4/28/15 3:09,0
stn2-d2-bulk-t1,4/28/15 7:09,4.003888889
stn2-d2-bulk-t2,4/28/15 11:15,8.108888889
stn2-d2-bulk-t3,4/28/15 15:09,11.99833333
stn2-d2-bulk-t4,4/28/15 19:07,15.98055556
stn2-d2-bulk-t5,4/28/15 23:01,19.87111111
stn2-d2-bulk-t6,4/29/15 3:10,24.015
stn2-d2-bulk-t7,4/29/15 15:01,35.86666667
stn2-d2-bulk-t8,4/30/15 3:47,48.64666667
stn2-d2-bulk-t9,5/1/15 3:11,72.03222222
